1425,Garjat Barsat Sawan Aayo Re
1426,Na Moonh Chhupa Ke Jiyo
1427,Chalo Ek Baar Phir Se
1428,Tum Agar Saath Dene Ka Vada Karo
1429,Kisi Patthar Ki Murat Se
1430,Salam-E-Hasrat Qubool Kar Lo
1431,Aap Aaye To
1432,Yeh Hawa Yeh Fiza Aa Bhi Ja
1433,Neele Gagan Ke Tale
1434,Jag Gaya Jag Gaya
1435,Kase Kahoon Mann Ki Baat
1436,Na Na Na Re
1437,Tum Apna Ranjhogham Apni
1714,Jayein To Jayein Kahan
1930,Laga Chunari Mein Daag
1931,Ae Mere Zohra Jabeen
2015,Aaj Ki Raat Piya Dil Na Todo
2016,Chup Hai Dharti Chup Hai Chand
2017,Jane Kya Tune Kahi
2018,Jane Woh Kaise Log The
2019,Dil Ki Umangein Hai Jawan
2020,Tadbeer Se Bigdi Huyi Taqdeer
2021,Yeh Raat Yeh Chandni
2028,Aan Milo Shyam Sanware
2029,Sajan Ki Ho Gayi Gori
2065,Tum Agar Mujhko Na Chaho To
2066,Chin-O-Arab Hamara Hindustan
2067,Woh Subah Kabhi To Aayegi
2068,Chura Le Na Tumko Ye Mausam Suhana
2069,Main Pal Do Pal Ka Shayer Hoon
2253,Ab Koi Gulshan Na Ujde
2254,Barsat Ki Raat
2255,Ganga Tera Pani Amrit
2256,Ham Jab Chale To Yeh Jahan Jhume
2257,Ishwar Allah Tere Naam
2258,Tu Hindu Banega Na Musalman
2259,Us Mulk Ki Sarhad Ko
2260,Waqt Se Din Aur Raat
2261,Zindagi Bhar Nahin Bhoolegi
2262,Door Rah Kar Na Karo Baat
2263,Ham Intezar Karenge
2264,Jo Baat Tujh Mein Hai
2265,Yeh Zulf Agar Khul Ke Bikhar Jaye
2266,Aaja Tujhko Pukare Mera Pyar
2267,Babul Ki Duayen Leti Ja
2268,Kabhi Khud Pe Kabhi Halat Pe Rona
2269,Man Re Tu Kahe Na Dheer Dhare
2270,Main Ne Shayad Tumhen Pehle Bhi
2271,Matlab Nikal Gaya Hai To
2272,Ponchh Kar Ashq Apni Ankhon Se
2273,Hoke Mayus Tere Dar Se
2274,Mere Mehboob Kahin Aur
2275,Mujhe Yeh Phool Na De
2276,Tere Dar Pe Aaya Hoon
2277,Rang Aur Noor Ki Barat
2278,Dil Khush Hain Aaj
2279,Chhoo Lene Do Nazuk Honthon Ko
2280,Main Zindagi Ka Saath Nibhata Chala Gaya
2317,Main Bambai Ka Babu
2318,Aana Hai To Aa
2319,Maut Kabhi Bhi Mil Sakti Hai
2320,Yeh Desh Hai Veer Jawanon Ka
2321,Tumsa Nahin Dekha
2530,Dil Kahen Ruk Ja Re Ruk Ja
2531,Na Tu Zameen Ke Liye
2532,Kya Tum Wohi Ho
2559,Yeh Duniya Agar Mil Bhi Jaye To
2560,Sar Jo Tera Chakraye
2566,Vakif Hoon Khub Ishq Ke
2567,Yeh Hai Ishq Ishq
2578,Hum Aap Ki Ankhon Mein
2580,Jis Pyar Mein Yeh Haal Ho
2663,Mere Bhaiya Mere Chanda
2664,Tora Mann Darpan Kahlaye
2665,Din Hai Bahar Ke
2666,Kaun Aaya Ki Nigahon Mein
2667,Uljhan Suljhe Na Rasta Sujhe Na
2668,Aa Ja Aa Ja Re
2669,Chehre Pe Khushi Chha Jati Hai
2670,Hum Jab Simat Ke Aapki Bahon Men
2671,Jaan Gayee Main To Jaan Gayee
2672,Jahan Mein Aesa Kaun Hai
2673,Jo Tum Muskura Do
2674,Kahe Tarsaye Jiyara
2675,More Saiyan Padoon Paiyan
2676,Nigah-E-Naaz Ke
2677,Nigahen Milane Ko Jee Chahta Hai
2678,Sajna O Sajna
2679,Zindagi Ke Rang Kai Re Saathi
2680,Zulfon Ke Mahkte Saye Hai
2681,Ada Qatil Nazar Barke Bala
2682,Aage Bhi Jane Na Tu
2722,Chhuk Chhuk Rail Chale
2723,Reshmi Salwar Kurta Jali Ka
2815,Meri Nazar Hai Tujh Pe
2844,Ae Johnny Jeene Mein Kya Hai
2856,Pyar Par Bas To Nahin Hai
2857,Sach Bata Tu Mujh Pe Fida
2858,Pyar Par Bas To Nahin Hai
2874,Phir Na Kije Meri Gustakh
2875,Woh Subah Kabhi To Aayegi
2911,Hum Intezar Karenge Tera Qyamat Tak
2912,Chunar Mori Kori
2913,Abhi Na Jao Chhod Kar
2939,Saathi Haath Badhana
2940,Raat Bhar Ka Hai Mehman Andhera
2941,Uden Jab Jab Zulfen Teri
2942,Mang Ke Saath Tumhara
2976,Pal Do Pal Ka Saath Humara
2984,Chandi Ka Badan Sone Ki Nazar
2985,Na To Caravan Ki Talash Hai
3059,Pyar Kar Liya To Kya
3060,Dekha Hai Zindagi Ko
3061,Tum Bhi Chalo
3062,Maro Bharkar Pichkari
3155,Mere Dil Mein Aaj Kya Hai
3249,Dukhi Mann Mere
3250,Jeevan Ke Safar Mein Rahi
3251,Chappar Phad Ke Deta Hai
3257,De Bhi Chuke Hum Dil Nazrana
3579,Allah Tero Naam Ishwar Tero Naam
3580,Chanda Re Mere Bhaiya Se Kahna
3581,Prabhu Tero Naam Ishwar Tero Naam
3582,Raat Bhi Hai Kuchh Bheegi Bheegi
3583,Aapki Mehki Huyi Zulf Ko
3584,Dil Mein Kisi Ke Pyar Ka
3585,Milti Hai Zindagi Men
3586,Sakhi Re Mera Mann Uljhe Tan Dole
3587,Tere Pyar Ka Aasra Chahta Hoon
3588,Yeh Ankhen Dekh Kar
3589,Duniya Kare Sawaal
3590,Gairon Pe Karam
3591,Ae Ri Jane Na Doongi
3592,Balle Balle Bhai
3593,Main Jagoon Sari Rain
3594,Meri Dooron Se Aai Baraat
3595,Mujhe Mil Gaya Bahana
3596,Sansar Se Bhage Phirte Ho
3597,Zulm-E-Ulfut Pe Hamen Log
3598,Naghma O Sher Ki Saugaat
3599,Unse Nazren Milin
3600,Husn Hazir Hain
3903,Hawa Chale Kaise
3904,Jab Bhi Jee Chahe
3905,Jagi Badan Mein Jwala
3906,Ni Main Yaar Manana Ni
3990,Pighla Hai Sona Door Gagan Par
3991,Thandi Hawayein
3992,Jeevan Ke Safar Mein Rahi
3993,Tum Na Jane Kis Jahan Mein Kho Gaye
3994,Ab Aage Teri Marzi
3995,Chori Chori Meri Gali Aana Hai Bura
4060,Umr Huyi Tumse Mile
4063,Yeh Raat Yeh Chandni
4074,Kabhi Kabhi Mere Dil Mein
4142,Zindagi Bhar Nahin
4143,Jo Wada Kiya Woh Nibhana Padega
4144,Tumhari Nazar Kyon Khafa Ho Gayi
4145,Bahon Mein Teri Masti Ke Ghere
4146,Ek Mahal Ho Sapnon Ka
4147,Paon Chhoo Lene Do Phoolon Ko
4148,Simti Hui Yeh Ghadiyan
4149,Yeh Parbaton Ke Daire
4150,Dhoom Mache Dhoom
4151,Yeh Sama Yeh Ritu Yeh Nazaren
4152,Is Reshmi Paazeb Ki Jhankar
4223,Ye Dil Tum Bin Lagta Nahin
4224,Chala Bhi Aa Aaja Rasiya
4290,Ik Rasta Hai Zindagi
4291,Janeman Tum Kamal Karte Ho
4292,Tera Phoolon Jaisa Rang
4293,Jo Ho Yaar Apna
4294,Mohabbat Bade Kaam Ki Cheez Hai
4295,Tere Chehre Se Nazar Nahin
4330,Ab Chahe Maa Roothe Ya Baba
4331,Hum Aur Tum Tum Aur Hum
